S/N,PROJECT TITLE,PROJECT CATEGORY,Country(diry),OWNER NAME,BLURB
360B,How to make amazing snowflakes,Nonfiction,United States,Elizabeth O'Leary,"Kids make paper snowflakes in school every year, but many of their teachers can't make proper flakes themselves.  Now they will."
316C,What does it really mean to be a human - A new Musical,Musical,United Kingdom,Worldmosaic,Help us record the soundtrack. After 4 performances we are ready to take it to the next stage and produce the original cast CD.
397B,Toy Box Theatre Company expands to a two-show season,Theater,United States,Toy Box Theatre Company,"Support Toy Box Theatre Company to expand to a two-show season, starting with David Caudle's The Short Fall"
649C,The Hives's A Midsummer Night's Dream,Theater,United States,The Hive Theatre Company,A raucous and raunchy adaptation of Shakespeare's original exploring the right to marry in the twenty-first century.
437B,Electric Literature's Recommended Reading,Periodicals,United States,Halimah Marcus & Benjamin Samuel,"Recommended Reading is a free, weekly, digital magazine that introduces you to new fiction while supporting indie publishers."
300C,Zenith: A Literary Magazine,Literary Journals,United States,Island Pacific Academy,Zenith is a printed magazine of unique art and writing from local teens from Hawaii. We need your support to fund our founding edition!
550C,The Improvised History of the World,Musical,United Kingdom,Pawel Klica,"Improvise, dimmersive, interactive musical about the history of the world? How on earth is that supposed to work? (Hint: it does!)"
536C,100 Heartbreaks - A NewOld-School Country Musical Play,Musical,United States,Joanna Garner,An aspiring singer decides to get her heart broken 100 times to be sad enough for country music.
123,Abyss,Theater,US,Stephen Feigenbaum,"Modern, edgy classical music meets theatrical spectacle, made by Yalies, taking place in downtown New Haven."
218B,The Monarchs West Coast Tour,Poetry,United States,Melanie Noel,"Reading Tour of The Monarchs, a book of poems by Melanie Noel, with a silent film by poet Don Mee Choi"
169B,Washeteria: Innovative Site Specific Theater for Kids,Theater,United States,Louisa Thompson & Soho Rep.,Designer Louisa Thompson and Soho Rep transform an unused storefront into a fantastical Laundromat and theater for all-age audiences.
115,City Love Song: America to the World,Theater,US,Jack Finnegan,"A portrait of America drawn from 13 weeks of railroad track and city sidewalks, to be performed in 13 cities around the world!"
